x-axis,1
second,rad/s
0.511278,0.228614,
0.516291,0.232669,
0.521303,0.240584,
0.526316,0.204981,
0.531328,0.245275,
0.536341,0.257869,
0.541353,0.254906,
0.546366,0.308016,
0.551378,0.276631,
0.556391,0.269382,
0.561404,0.276297,
0.566416,0.293104,
0.571429,0.287977,
0.576441,0.308083,
0.581454,0.331847,
0.586466,0.348009,
0.591479,0.330608,
0.596491,0.342224,
0.601504,0.333312,
0.606516,0.277822,
0.611529,0.320353,
0.616541,0.325530,
0.621554,0.299857,
0.626566,0.333874,
0.631579,0.332856,
0.636591,0.312380,
0.641604,0.328323,
0.646617,0.340539,
0.651629,0.329318,
0.656642,0.307631,
0.661654,0.325549,
0.666667,0.290152,
0.671679,0.329579,
0.676692,0.329874,
0.681704,0.308997,
0.686717,0.293349,
0.691729,0.302604,
0.696742,0.274926,
0.701754,0.317917,
0.706767,0.278799,
0.711779,0.270539,
0.716792,0.307485,
0.721805,0.280773,
0.726817,0.253547,
0.731830,0.296812,
0.736842,0.276534,
0.741855,0.251640,
0.746867,0.255987,
0.751880,0.218858,
0.756892,0.281924,
0.761905,0.254381,
0.766917,0.266883,
0.771930,0.281697,
0.776942,0.229293,
0.781955,0.234457,
0.786967,0.219215,
0.791980,0.256544,
0.796992,0.220702,
0.802005,0.200961,
0.807018,0.250684,
0.812030,0.229411,
0.817043,0.208783,
0.822055,0.225173,
0.827068,0.214164,
0.832080,0.214468,
0.837093,0.241694,
0.842105,0.171097,
0.847118,0.207975,
0.852130,0.208104,
0.857143,0.204475,
0.862155,0.199822,
0.867168,0.228868,
0.872180,0.214665,
0.877193,0.195452,
0.882206,0.242623,
0.887218,0.239019,
0.892231,0.202250,
0.897243,0.186689,
0.902256,0.237277,
0.907268,0.265974,
0.912281,0.294229,
0.917293,0.241796,
0.922306,0.242781,
0.927318,0.243736,
0.932331,0.219865,
0.937343,0.261640,
0.942356,0.263169,
0.947368,0.262876,
0.952381,0.231282,
0.957393,0.257524,
0.962406,0.215242,
0.967419,0.246583,
0.972431,0.227971,
0.977444,0.281186,
0.982456,0.298681,
0.987469,0.259931,
0.992481,0.296027,
0.997494,0.290398,
1.002506,0.303675,
1.007519,0.262741,
1.012531,0.273128,
1.017544,0.284773,
1.022556,0.296602,
1.027569,0.308997,
1.032581,0.254868,
1.037594,0.297547,
1.042607,0.300339,
1.047619,0.254362,
1.052632,0.283313,
1.057644,0.259447,
1.062657,0.295795,
1.067669,0.268885,
1.072682,0.300370,
1.077694,0.292386,
1.082707,0.272247,
1.087719,0.290201,
1.092732,0.301687,
1.097744,0.301411,
1.102757,0.255333,
1.107769,0.254178,
1.112782,0.275895,
1.117794,0.307006,
1.122807,0.286414,
1.127820,0.308438,
1.132832,0.264632,
1.137845,0.261070,
1.142857,0.280639,
1.147870,0.282474,
1.152882,0.286474,
1.157895,0.275830,
1.162907,0.257445,
1.167920,0.269993,
1.172932,0.233686,
1.177945,0.267248,
1.182957,0.287613,
1.187970,0.284361,
1.192982,0.251923,
1.197995,0.252217,
1.203008,0.262273,
1.208020,0.265861,
1.213033,0.244444,
1.218045,0.247428,
1.223058,0.250181,
1.228070,0.217500,
1.233083,0.267933,
1.238095,0.237047,
1.243108,0.252314,
1.248120,0.254750,
1.253133,0.226258,
1.258145,0.254064,
1.263158,0.213648,
1.268170,0.198159,
1.273183,0.229667,
1.278195,0.241997,
1.283208,0.238275,
1.288221,0.223335,
1.293233,0.230836,
1.298246,0.275613,
1.303258,0.230180,
1.308271,0.236650,
1.313283,0.265115,
1.318296,0.280413,
1.323308,0.259257,
1.328321,0.208588,
1.333333,0.259239,
1.338346,0.241940,
1.343358,0.267917,
1.348371,0.263019,
1.353383,0.259511,
1.358396,0.292665,
1.363409,0.264571,
1.368421,0.282684,
1.373434,0.208430,
1.378446,0.251869,
1.383459,0.278842,
1.388471,0.244416,
1.393484,0.274361,
1.398496,0.282932,
1.403509,0.235004,
1.408521,0.234279,
1.413534,0.270554,
1.418546,0.277294,
1.423559,0.244454,
1.428571,0.272334,
1.433584,0.260902,
1.438596,0.276790,
1.443609,0.289735,
1.448622,0.268547,
1.453634,0.253986,
1.458647,0.270019,
1.463659,0.315552,
1.468672,0.205930,
1.473684,0.290064,
1.478697,0.250348,
1.483709,0.319070,
1.488722,0.278139,
1.493734,0.267241,
1.498747,0.288558,
1.503759,0.298750,
1.508772,0.254464,
1.513784,0.242199,
1.518797,0.244860,
1.523810,0.279312,
1.528822,0.283785,
1.533835,0.257970,
1.538847,0.252011,
1.543860,0.256705,
1.548872,0.266050,
1.553885,0.258148,
1.558897,0.290978,
1.563910,0.253458,
1.568922,0.293387,
1.573935,0.274276,
1.578947,0.248939,
1.583960,0.253863,
1.588972,0.243000,
1.593985,0.238743,
1.598997,0.287847,
1.604010,0.237207,
1.609023,0.278740,
1.614035,0.248475,
1.619048,0.253610,
1.624060,0.270485,
1.629073,0.237546,
1.634085,0.241091,
1.639098,0.270098,
1.644110,0.239402,
1.649123,0.291292,
1.654135,0.236207,
1.659148,0.251356,
1.664160,0.260389,
1.669173,0.249780,
1.674185,0.276538,
1.679198,0.259902,
1.684211,0.266509,
1.689223,0.237729,
1.694236,0.304915,
1.699248,0.247704,
1.704261,0.265067,
1.709273,0.235710,
1.714286,0.239329,
1.719298,0.267352,
1.724311,0.287650,
1.729323,0.296832,
1.734336,0.274353,
1.739348,0.241078,
1.744361,0.261869,
1.749373,0.229608,
1.754386,0.299733,
1.759398,0.246056,
1.764411,0.219480,
1.769424,0.229101,
1.774436,0.289376,
1.779449,0.245742,
1.784461,0.300728,
1.789474,0.266414,
1.794486,0.229554,
1.799499,0.251420,
1.804511,0.271933,
1.809524,0.222290,
1.814536,0.247347,
1.819549,0.271330,
1.824561,0.262865,
1.829574,0.242525,
1.834586,0.265946,
1.839599,0.244007,
1.844612,0.272040,
1.849624,0.241808,
1.854637,0.281973,
1.859649,0.245760,
1.864662,0.260543,
1.869674,0.248509,
1.874687,0.243807,
1.879699,0.236591,
1.884712,0.267457,
1.889724,0.281911,
1.894737,0.276618,
1.899749,0.252100,
1.904762,0.276132,
1.909774,0.267359,
1.914787,0.256088,
1.919799,0.275872,
1.924812,0.273222,
1.929825,0.268585,
1.934837,0.263974,
1.939850,0.255767,
1.944862,0.257483,
1.949875,0.252670,
1.954887,0.266025,
1.959900,0.277081,
1.964912,0.239587,
1.969925,0.241430,
1.974937,0.260984,
1.979950,0.265516,
1.984962,0.280097,
1.989975,0.276242,
1.994987,0.244485,
2.000000,0.265040,
