x-axis,1
second,Volt
0.182591,0.184309,
0.183092,0.209166,
0.183592,0.187324,
0.184092,0.216977,
0.184592,0.186641,
0.185093,0.228839,
0.185593,0.192391,
0.186093,0.208495,
0.186593,0.197002,
0.187094,0.193087,
0.187594,0.186607,
0.188094,0.219377,
0.188594,0.235266,
0.189095,0.230839,
0.189595,0.206635,
0.190095,0.232459,
0.190595,0.224515,
0.191096,0.214020,
0.191596,0.235530,
0.192096,0.233951,
0.192596,0.230344,
0.193097,0.226779,
0.193597,0.219525,
0.194097,0.222504,
0.194597,0.218771,
0.195098,0.233762,
0.195598,0.246393,
0.196098,0.209026,
0.196598,0.212181,
0.197099,0.233584,
0.197599,0.239517,
0.198099,0.255802,
0.198599,0.253098,
0.199100,0.221655,
0.199600,0.244091,
0.200100,0.264427,
0.200600,0.252887,
0.201101,0.231090,
0.201601,0.227306,
0.202101,0.213306,
0.202601,0.248947,
0.203102,0.224915,
0.203602,0.275312,
0.204102,0.240721,
0.204602,0.233043,
0.205103,0.268055,
0.205603,0.286007,
0.206103,0.279883,
0.206603,0.283063,
0.207104,0.312511,
0.207604,0.241413,
0.208104,0.223113,
0.208604,0.267440,
0.209105,0.257627,
0.209605,0.264355,
0.210105,0.286404,
0.210605,0.239945,
0.211106,0.258259,
0.211606,0.309307,
0.212106,0.309584,
0.212606,0.279051,
0.213107,0.261284,
0.213607,0.318328,
0.214107,0.283806,
0.214607,0.287478,
0.215108,0.251007,
0.215608,0.265654,
0.216108,0.272421,
0.216608,0.289278,
0.217109,0.256484,
0.217609,0.293689,
0.218109,0.248725,
0.218609,0.300857,
0.219110,0.254933,
0.219610,0.265204,
0.220110,0.233734,
0.220610,0.267479,
0.221111,0.285797,
0.221611,0.303224,
0.222111,0.330493,
0.222611,0.266014,
0.223112,0.329693,
0.223612,0.320620,
0.224112,0.305789,
0.224612,0.289297,
0.225113,0.296926,
0.225613,0.304868,
0.226113,0.342558,
0.226613,0.317808,
0.227114,0.284774,
0.227614,0.278264,
0.228114,0.319369,
0.228614,0.279131,
0.229115,0.342399,
0.229615,0.318055,
0.230115,0.305613,
0.230615,0.287524,
0.231116,0.309635,
0.231616,0.302149,
0.232116,0.343402,
0.232616,0.316976,
0.233117,0.322887,
0.233617,0.282222,
0.234117,0.289026,
0.234617,0.304090,
0.235118,0.323575,
0.235618,0.335945,
0.236118,0.314835,
0.236618,0.273893,
0.237119,0.367425,
0.237619,0.289140,
0.238119,0.339182,
0.238619,0.298938,
0.239120,0.334298,
0.239620,0.341463,
0.240120,0.351955,
0.240620,0.343266,
0.241121,0.330053,
0.241621,0.361646,
0.242121,0.315566,
0.242621,0.307940,
0.243122,0.346410,
0.243622,0.325350,
0.244122,0.331535,
0.244622,0.350524,
0.245123,0.331567,
0.245623,0.349043,
0.246123,0.328064,
0.246623,0.357643,
0.247124,0.324232,
0.247624,0.321050,
0.248124,0.314485,
0.248624,0.357252,
0.249125,0.349908,
0.249625,0.327108,
0.250125,0.364454,
0.250625,0.340571,
0.251126,0.377863,
0.251626,0.318977,
0.252126,0.370611,
0.252626,0.372438,
0.253127,0.338970,
0.253627,0.350278,
0.254127,0.356592,
0.254627,0.365976,
0.255128,0.371818,
0.255628,0.340687,
0.256128,0.362130,
0.256628,0.342297,
0.257129,0.357341,
0.257629,0.332989,
0.258129,0.365324,
0.258629,0.381663,
0.259130,0.370022,
0.259630,0.327371,
0.260130,0.349731,
0.260630,0.352848,
0.261131,0.380561,
0.261631,0.378063,
0.262131,0.397838,
0.262631,0.369443,
0.263132,0.384604,
0.263632,0.381664,
0.264132,0.354626,
0.264632,0.375266,
0.265133,0.388850,
0.265633,0.395294,
0.266133,0.408724,
0.266633,0.401807,
0.267134,0.381482,
0.267634,0.374283,
0.268134,0.388985,
0.268634,0.400827,
0.269135,0.402987,
0.269635,0.397654,
0.270135,0.410751,
0.270635,0.404671,
0.271136,0.426529,
0.271636,0.413447,
0.272136,0.409582,
0.272636,0.391264,
0.273137,0.381343,
0.273637,0.380954,
0.274137,0.388117,
0.274637,0.404098,
0.275138,0.411384,
0.275638,0.366106,
0.276138,0.425870,
0.276638,0.448875,
0.277139,0.417283,
0.277639,0.421624,
0.278139,0.398102,
0.278639,0.392088,
0.279140,0.413652,
0.279640,0.406582,
0.280140,0.430557,
0.280640,0.411997,
0.281141,0.398536,
0.281641,0.417792,
0.282141,0.438371,
0.282641,0.426360,
0.283142,0.448333,
0.283642,0.423142,
0.284142,0.424316,
0.284642,0.443552,
0.285143,0.436350,
0.285643,0.417397,
0.286143,0.440610,
0.286643,0.430549,
0.287144,0.440307,
0.287644,0.459240,
0.288144,0.443231,
0.288644,0.408148,
0.289145,0.445805,
0.289645,0.442106,
0.290145,0.460894,
0.290645,0.435732,
0.291146,0.448200,
0.291646,0.447019,
0.292146,0.438411,
0.292646,0.429675,
0.293147,0.455686,
0.293647,0.477870,
0.294147,0.448999,
0.294647,0.448492,
0.295148,0.472238,
0.295648,0.446982,
0.296148,0.420037,
0.296648,0.478120,
0.297149,0.468955,
0.297649,0.429724,
0.298149,0.468464,
0.298649,0.483477,
0.299150,0.452970,
0.299650,0.481722,
0.300150,0.453977,
0.300650,0.492526,
0.301151,0.472493,
0.301651,0.467658,
0.302151,0.471881,
0.302651,0.482574,
0.303152,0.486500,
0.303652,0.447830,
0.304152,0.503198,
0.304652,0.484088,
0.305153,0.473806,
0.305653,0.496440,
0.306153,0.507391,
0.306653,0.484729,
0.307154,0.470045,
0.307654,0.515295,
0.308154,0.514698,
0.308654,0.486200,
0.309155,0.504443,
0.309655,0.460469,
0.310155,0.514389,
0.310655,0.519160,
0.311156,0.472451,
0.311656,0.489688,
0.312156,0.469452,
0.312656,0.522648,
0.313157,0.556502,
0.313657,0.463885,
0.314157,0.534941,
0.314657,0.518321,
0.315158,0.535863,
0.315658,0.510743,
0.316158,0.478945,
0.316658,0.515023,
0.317159,0.516036,
0.317659,0.486280,
0.318159,0.535814,
0.318659,0.552080,
0.319160,0.509889,
0.319660,0.505114,
0.320160,0.545420,
0.320660,0.545673,
0.321161,0.491775,
0.321661,0.547151,
0.322161,0.535109,
0.322661,0.536151,
0.323162,0.523509,
0.323662,0.546811,
0.324162,0.527442,
0.324662,0.515922,
0.325163,0.535166,
0.325663,0.543538,
0.326163,0.541987,
0.326663,0.556843,
0.327164,0.550582,
0.327664,0.506610,
0.328164,0.582750,
0.328664,0.529465,
0.329165,0.533724,
0.329665,0.543872,
0.330165,0.561492,
0.330665,0.570140,
0.331166,0.560025,
0.331666,0.533870,
0.332166,0.592180,
0.332666,0.524266,
0.333167,0.571794,
0.333667,0.545565,
0.334167,0.585196,
0.334667,0.580580,
0.335168,0.594602,
0.335668,0.562189,
0.336168,0.551241,
0.336668,0.588521,
0.337169,0.586594,
0.337669,0.577877,
0.338169,0.571313,
0.338669,0.541014,
0.339170,0.581549,
0.339670,0.560695,
0.340170,0.559334,
0.340670,0.548102,
0.341171,0.579394,
0.341671,0.577619,
0.342171,0.596991,
0.342671,0.582597,
0.343172,0.619070,
0.343672,0.588104,
0.344172,0.618510,
0.344672,0.559828,
0.345173,0.585333,
0.345673,0.595123,
0.346173,0.580338,
0.346673,0.597170,
0.347174,0.586078,
0.347674,0.617606,
0.348174,0.586615,
0.348674,0.610997,
0.349175,0.602047,
0.349675,0.648605,
0.350175,0.580455,
0.350675,0.593466,
0.351176,0.590014,
0.351676,0.633743,
0.352176,0.632417,
0.352676,0.593489,
0.353177,0.590499,
0.353677,0.606568,
0.354177,0.577356,
0.354677,0.616195,
0.355178,0.647852,
0.355678,0.636054,
0.356178,0.598280,
0.356678,0.626510,
0.357179,0.620969,
0.357679,0.588920,
0.358179,0.654380,
0.358679,0.646426,
0.359180,0.601223,
0.359680,0.609823,
0.360180,0.592900,
0.360680,0.629894,
0.361181,0.616258,
0.361681,0.611787,
0.362181,0.650187,
0.362681,0.636560,
0.363182,0.616096,
0.363682,0.642551,
0.364182,0.656407,
0.364682,0.644860,
0.365183,0.635681,
0.365683,0.640419,
0.366183,0.667247,
0.366683,0.616378,
0.367184,0.645368,
0.367684,0.681527,
0.368184,0.633188,
0.368684,0.634733,
0.369185,0.659431,
0.369685,0.682350,
0.370185,0.650234,
0.370685,0.653112,
0.371186,0.659254,
0.371686,0.651430,
0.372186,0.680659,
0.372686,0.664938,
0.373187,0.659919,
0.373687,0.631289,
0.374187,0.659581,
0.374687,0.704286,
0.375188,0.673524,
0.375688,0.628127,
0.376188,0.664931,
0.376688,0.656477,
0.377189,0.649853,
0.377689,0.651597,
0.378189,0.663127,
0.378689,0.699240,
0.379190,0.655501,
0.379690,0.717579,
0.380190,0.689547,
0.380690,0.658300,
0.381191,0.658188,
0.381691,0.697972,
0.382191,0.667045,
0.382691,0.695161,
0.383192,0.681315,
0.383692,0.703958,
0.384192,0.716515,
0.384692,0.699416,
0.385193,0.703796,
0.385693,0.683295,
0.386193,0.683244,
0.386693,0.710848,
0.387194,0.704940,
0.387694,0.745091,
0.388194,0.689217,
0.388694,0.724026,
0.389195,0.716506,
0.389695,0.724074,
0.390195,0.719103,
0.390695,0.697111,
0.391196,0.729552,
0.391696,0.718969,
0.392196,0.738498,
0.392696,0.768042,
0.393197,0.744013,
0.393697,0.712064,
0.394197,0.725540,
0.394697,0.698328,
0.395198,0.742131,
0.395698,0.737647,
0.396198,0.726420,
0.396698,0.750048,
0.397199,0.710189,
0.397699,0.721553,
0.398199,0.735842,
0.398699,0.762243,
0.399200,0.747594,
0.399700,0.685373,
0.400200,0.742990,
0.400700,0.727053,
0.401201,0.754811,
0.401701,0.737510,
0.402201,0.756210,
0.402701,0.754001,
0.403202,0.723078,
0.403702,0.775205,
0.404202,0.746425,
0.404702,0.745631,
0.405203,0.706889,
0.405703,0.747428,
0.406203,0.764690,
0.406703,0.755759,
0.407204,0.734701,
0.407704,0.767332,
0.408204,0.735873,
0.408704,0.780709,
0.409205,0.758219,
0.409705,0.741307,
0.410205,0.761972,
0.410705,0.774272,
0.411206,0.771039,
0.411706,0.795225,
0.412206,0.813309,
0.412706,0.760281,
0.413207,0.771891,
0.413707,0.731430,
0.414207,0.737765,
0.414707,0.788690,
0.415208,0.789616,
0.415708,0.778087,
0.416208,0.792871,
0.416708,0.817138,
0.417209,0.838367,
0.417709,0.844212,
0.418209,0.797160,
0.418709,0.807782,
0.419210,0.768141,
0.419710,0.827191,
0.420210,0.810330,
0.420710,0.814760,
0.421211,0.775868,
0.421711,0.803464,
0.422211,0.789799,
0.422711,0.801201,
0.423212,0.783487,
0.423712,0.792448,
0.424212,0.781578,
0.424712,0.817627,
0.425213,0.806482,
0.425713,0.829297,
0.426213,0.858308,
0.426713,0.787537,
0.427214,0.817838,
0.427714,0.806930,
0.428214,0.823206,
0.428714,0.811092,
0.429215,0.798094,
0.429715,0.828197,
0.430215,0.846483,
0.430715,0.810674,
0.431216,0.808022,
0.431716,0.791620,
0.432216,0.845081,
0.432716,0.844962,
0.433217,0.829919,
0.433717,0.812373,
0.434217,0.857193,
0.434717,0.823875,
0.435218,0.844136,
0.435718,0.837948,
0.436218,0.809919,
0.436718,0.846593,
0.437219,0.833972,
0.437719,0.860161,
0.438219,0.858813,
0.438719,0.860207,
0.439220,0.858722,
0.439720,0.844917,
0.440220,0.843626,
0.440720,0.858153,
0.441221,0.832806,
0.441721,0.833945,
0.442221,0.853664,
0.442721,0.862589,
0.443222,0.863543,
0.443722,0.872149,
0.444222,0.902227,
0.444722,0.859468,
0.445223,0.899554,
0.445723,0.852315,
0.446223,0.846900,
0.446723,0.852276,
0.447224,0.908707,
0.447724,0.894044,
0.448224,0.903510,
0.448724,0.858394,
0.449225,0.882973,
0.449725,0.863336,
0.450225,0.884825,
0.450725,0.886830,
0.451226,0.906380,
0.451726,0.886763,
0.452226,0.889763,
0.452726,0.895727,
0.453227,0.921443,
0.453727,0.897518,
0.454227,0.921336,
0.454727,0.894083,
0.455228,0.894915,
0.455728,0.880082,
0.456228,0.915476,
0.456728,0.904513,
0.457229,0.924793,
0.457729,0.887327,
0.458229,0.926725,
0.458729,0.949810,
0.459230,0.899273,
0.459730,0.900316,
0.460230,0.927017,
0.460730,0.909606,
0.461231,0.941970,
0.461731,0.924111,
0.462231,0.914555,
0.462731,0.907190,
0.463232,0.925416,
0.463732,0.923031,
0.464232,0.930492,
0.464732,0.914014,
0.465233,0.930822,
0.465733,0.930306,
0.466233,0.931352,
0.466733,0.930453,
0.467234,0.904105,
0.467734,0.950193,
0.468234,0.999000,
0.468734,0.924957,
0.469235,0.915334,
0.469735,0.895924,
0.470235,0.902126,
0.470735,0.935788,
0.471236,0.947288,
0.471736,0.932393,
0.472236,0.936105,
0.472736,0.955294,
0.473237,0.952458,
0.473737,0.931143,
0.474237,0.950244,
0.474737,0.932774,
0.475238,0.957704,
0.475738,0.974377,
0.476238,0.973158,
0.476738,0.961399,
0.477239,0.970921,
0.477739,0.941346,
0.478239,0.975100,
0.478739,0.960336,
0.479240,0.997877,
0.479740,0.973751,
0.480240,0.951999,
0.480740,0.971577,
0.481241,0.965786,
0.481741,0.962343,
0.482241,0.966289,
0.482741,0.974650,
0.483242,0.983066,
0.483742,0.994893,
0.484242,0.981454,
0.484742,0.995202,
0.485243,0.955792,
0.485743,1.008168,
0.486243,0.971102,
0.486743,0.988943,
0.487244,0.954216,
0.487744,1.029948,
0.488244,0.975625,
0.488744,1.008173,
0.489245,1.013578,
0.489745,0.997040,
0.490245,1.013514,
0.490745,0.996123,
0.491246,0.988755,
0.491746,1.013504,
0.492246,1.004894,
0.492746,1.018586,
0.493247,1.073087,
0.493747,1.024077,
0.494247,1.024033,
0.494747,1.009863,
0.495248,1.015271,
0.495748,0.989587,
0.496248,1.011909,
0.496748,0.999838,
0.497249,1.028400,
0.497749,1.026838,
0.498249,1.033963,
0.498749,1.043161,
0.499250,1.022909,
0.499750,1.016847,
0.500250,1.038944,
0.500750,1.023740,
0.501251,1.051815,
0.501751,1.033213,
0.502251,1.055718,
0.502751,1.026930,
0.503252,1.044665,
0.503752,1.039430,
0.504252,1.040189,
0.504752,1.033853,
0.505253,1.046020,
0.505753,1.022698,
0.506253,1.037603,
0.506753,1.055883,
0.507254,1.047619,
0.507754,1.046736,
0.508254,1.083360,
0.508754,1.071254,
0.509255,1.067817,
0.509755,1.021701,
0.510255,1.056953,
0.510755,1.067440,
0.511256,1.080563,
0.511756,1.075932,
0.512256,1.057151,
0.512756,1.056744,
0.513257,1.057219,
0.513757,1.061740,
0.514257,1.069541,
0.514757,1.078089,
0.515258,1.058826,
0.515758,1.064294,
0.516258,1.105863,
0.516758,1.099009,
0.517259,1.078543,
0.517759,1.104164,
0.518259,1.104102,
0.518759,1.073283,
0.519260,1.073699,
0.519760,1.103416,
0.520260,1.137448,
0.520760,1.104811,
0.521261,1.090720,
0.521761,1.085426,
0.522261,1.099191,
0.522761,1.117531,
0.523262,1.090129,
0.523762,1.129869,
0.524262,1.127284,
0.524762,1.102038,
0.525263,1.103944,
0.525763,1.087591,
0.526263,1.105030,
0.526763,1.106664,
0.527264,1.142149,
0.527764,1.149844,
0.528264,1.106650,
0.528764,1.157912,
0.529265,1.112697,
0.529765,1.125704,
0.530265,1.130353,
0.530765,1.115620,
0.531266,1.095944,
0.531766,1.125988,
0.532266,1.116513,
0.532766,1.120911,
0.533267,1.136766,
0.533767,1.118384,
0.534267,1.158076,
0.534767,1.126753,
0.535268,1.176317,
0.535768,1.145110,
0.536268,1.159189,
0.536768,1.110050,
0.537269,1.133013,
0.537769,1.146646,
0.538269,1.144087,
0.538769,1.154015,
0.539270,1.176099,
0.539770,1.154921,
0.540270,1.194560,
0.540770,1.161328,
0.541271,1.136335,
0.541771,1.154846,
0.542271,1.193095,
0.542771,1.152360,
0.543272,1.135196,
0.543772,1.191373,
0.544272,1.119277,
0.544772,1.185173,
0.545273,1.155107,
0.545773,1.185461,
0.546273,1.150347,
0.546773,1.148248,
0.547274,1.157000,
0.547774,1.160938,
0.548274,1.198280,
0.548774,1.171000,
0.549275,1.166385,
0.549775,1.190161,
0.550275,1.193116,
0.550775,1.204476,
0.551276,1.196755,
0.551776,1.208145,
0.552276,1.197303,
0.552776,1.185133,
0.553277,1.195079,
0.553777,1.167005,
0.554277,1.198954,
0.554777,1.197449,
0.555278,1.201593,
0.555778,1.196056,
0.556278,1.180181,
0.556778,1.203790,
0.557279,1.215172,
0.557779,1.189436,
0.558279,1.222205,
0.558779,1.179188,
0.559280,1.183033,
0.559780,1.189073,
0.560280,1.179194,
0.560780,1.179688,
0.561281,1.191738,
0.561781,1.176116,
0.562281,1.236570,
0.562781,1.211438,
0.563282,1.235653,
0.563782,1.271240,
0.564282,1.231109,
0.564782,1.202239,
0.565283,1.222772,
0.565783,1.233738,
0.566283,1.267467,
0.566783,1.242644,
0.567284,1.206125,
0.567784,1.232850,
0.568284,1.277669,
0.568784,1.224394,
0.569285,1.265385,
0.569785,1.249939,
0.570285,1.212413,
0.570785,1.277240,
0.571286,1.242971,
0.571786,1.266073,
0.572286,1.253515,
0.572786,1.219816,
0.573287,1.283994,
0.573787,1.283388,
0.574287,1.242696,
0.574787,1.225934,
0.575288,1.277597,
0.575788,1.251624,
0.576288,1.252191,
0.576788,1.236379,
0.577289,1.276454,
0.577789,1.253754,
0.578289,1.295926,
0.578789,1.245785,
0.579290,1.265412,
0.579790,1.256810,
0.580290,1.276647,
0.580790,1.272887,
0.581291,1.276871,
0.581791,1.303166,
0.582291,1.249339,
0.582791,1.327115,
0.583292,1.247437,
0.583792,1.273472,
0.584292,1.268286,
0.584792,1.317509,
0.585293,1.264831,
0.585793,1.280345,
0.586293,1.306321,
0.586793,1.293350,
0.587294,1.298841,
0.587794,1.333752,
0.588294,1.285417,
0.588794,1.307212,
0.589295,1.277538,
0.589795,1.308344,
0.590295,1.295337,
0.590795,1.289511,
0.591296,1.311852,
0.591796,1.295181,
0.592296,1.330164,
0.592796,1.281359,
0.593297,1.304094,
0.593797,1.274309,
0.594297,1.306583,
0.594797,1.320654,
0.595298,1.305787,
0.595798,1.312510,
0.596298,1.331059,
0.596798,1.323808,
0.597299,1.315202,
0.597799,1.334407,
0.598299,1.345610,
0.598799,1.327209,
0.599300,1.338057,
0.599800,1.354223,
0.600300,1.350943,
0.600800,1.351908,
0.601301,1.374066,
0.601801,1.324586,
0.602301,1.314859,
0.602801,1.373134,
0.603302,1.350666,
0.603802,1.353175,
0.604302,1.366164,
0.604802,1.337826,
0.605303,1.347654,
0.605803,1.344375,
0.606303,1.336473,
0.606803,1.343866,
0.607304,1.333975,
0.607804,1.375607,
0.608304,1.324985,
0.608804,1.376930,
0.609305,1.358235,
0.609805,1.340632,
0.610305,1.359503,
0.610805,1.344141,
0.611306,1.345704,
0.611806,1.373246,
0.612306,1.356156,
0.612806,1.329665,
0.613307,1.355631,
0.613807,1.376854,
0.614307,1.367644,
0.614807,1.363705,
0.615308,1.376022,
0.615808,1.370378,
0.616308,1.385437,
0.616808,1.389747,
0.617309,1.377329,
0.617809,1.390130,
0.618309,1.395286,
0.618809,1.378419,
0.619310,1.438730,
0.619810,1.394841,
0.620310,1.392081,
0.620810,1.426542,
0.621311,1.382514,
0.621811,1.372382,
0.622311,1.409589,
0.622811,1.398476,
0.623312,1.411772,
0.623812,1.411614,
0.624312,1.408673,
0.624812,1.386661,
0.625313,1.412063,
0.625813,1.424060,
0.626313,1.417816,
0.626813,1.429877,
0.627314,1.436553,
0.627814,1.418503,
0.628314,1.431296,
0.628814,1.425907,
0.629315,1.385490,
0.629815,1.402872,
0.630315,1.414156,
0.630815,1.421641,
0.631316,1.431290,
0.631816,1.428817,
0.632316,1.442704,
